login,org
danielsoueid,pagbank;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer
dimebemer,pagbank;ps-customer;pagseguro-core
dnovaes,pagbank;developer-productivity
duanniston,pagbank;ps-mobileappchannel
emamede,pagbank;ps-customer
emersonsenaTQI,pagbank
FagnerJoao-QA,pagbank;ps-financial-services;pagseguro-core
fontana-murilo,pagbank;ps-servicedeskchannel;ps-corp-platform
fuji-ps,pagbank
fvastres,pagbank;ps-servicedeskchannel;ps-customer
gimenesthiago,pagbank;ps-store;ps-customer
Giovanni-Luigi-Bruno,pagbank;ps-mobileappchannel;ps-customer
guhenrique-ps,pagbank;ps-corp-platform;ps-customer;pagseguro-core
GuilhermeGatto,pagbank;ps-mobileappchannel;ps-acquirer
HenriquePA,pagbank;pagseguro-tilix
idd-jgaban,pagbank;ps-infra;ps-corp-platform;developer-productivity
iddalana,pagbank;ps-financial-services;pagseguro-core
idddfreitas,pagbank;pagseguro-core
iddjreis,pagbank;ps-financial-services;ps-customer;pagseguro-core
issuran,pagbank
ivanabilio001,pagbank;ps-customer;developer-productivity
JessicaAlauk,pagbank
KeviniOs,pagbank
lferajo,pagbank;ps-customer
LiegeLopes,pagbank;ps-mobileappchannel;developer-productivity
luanachen,pagbank;ps-mobileappchannel
luizagarofalo,pagbank
malikoski-pag,pagbank;ps-mobileappchannel;ps-apichannel;ps-corp-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
marcellafarias,pagbank;ps-mobileappchannel;ps-servicedeskchannel;ps-poschannel;ps-customer;developer-productivity;pagseguro-core
mucorreia,pagbank
nsdhalves,pagbank;ps-mobileappchannel;ps-web-channel;ps-customer
occosta,pagbank;pagseguro-tilix
pamarcolino,pagbank;ps-customer
ppereira-pag,pagbank;ps-mobileappchannel;ps-poschannel;ps-acquirer;ps-psp
ps-dcorrea,pagbank;ps-mobileappchannel;ps-corp-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
rafmendes,pagbank;ps-store;ps-servicedeskchannel;ps-web-channel;ps-customer
RenanBarsaglini,pagbank;ps-financial-services;pagseguro-core
rhamondias,pagbank;ps-mobileappchannel
rnanya,pagbank;ps-web-channel;ps-customer;pagseguro-core
rvbrandao,pagbank;ps-customer
s2itldeolindo,pagbank
sasantospag,pagbank;ps-customer
scremonini,pagbank;ps-mobileappchannel
sfurlaneto,pagbank;ps-customer
svcacc-pagb-github,pagbank
tgambaro,pagbank;ps-customer;pagseguro-core
thiagoteixeiralima,pagbank;ps-financial-services
tqi-fbentes,pagbank;ps-mobileappchannel
tqi-hcerqueira,pagbank;ps-mobileappchannel
tqi-keugenio,pagbank;ps-customer
tqi-ksilva,pagbank;ps-mobileappchannel
tqi-mcamargos,pagbank;ps-mobileappchannel
tqi-yrodriguez,pagbank
tqiabarbosa,pagbank;ps-mobileappchannel;ps-customer
tqiglima,pagbank;ps-customer
tqikmendonca,pagbank;ps-mobileappchannel;developer-productivity
tqilochoa,pagbank
tqimcunha,pagbank;ps-customer
tqipfarias,pagbank
tqipuchalski,pagbank;ps-financial-services;ps-customer
tqirandrade,pagbank;ps-financial-services
tqirqueiroz,pagbank
ulDroid,pagbank
vregina,pagbank
vtermartins,pagbank;ps-store;ps-infra;ps-corp-platform;ps-acquirer;pagseguro-core
wagfcruz,pagbank;ps-financial-services;ps-corp-platform
waloliveira,pagbank;ps-web-channel;ps-corp-platform;ps-customer
wensttay,pagbank;ps-store;pagseguro-core
aline-marqs,ps-financial-services
altamir-paz,ps-financial-services
camilacardozo1,ps-financial-services;ps-servicedeskchannel;ps-corp-platform;ps-acquirer;ps-customer;developer-productivity;pagseguro-core
ctl-vsilva,ps-financial-services;ps-customer
denispose,ps-financial-services
dolivermetal,ps-financial-services;ps-acquirer;ps-customer;ps-psp;pagseguro-core
dribeirops,ps-financial-services;pagseguro-core
EvertonRezendePS,ps-financial-services
ffdutra,ps-financial-services;ps-customer
gsiqueiraps,ps-financial-services;ps-third-party-services
idd-jmartini,ps-financial-services
iddffontoura,ps-financial-services;pagseguro-core
iddmukita,ps-financial-services
jefersonbsa,ps-financial-services;ps-acquirer;ps-psp;developer-productivity;pagseguro-core
laryscdias,ps-financial-services
lsenauol,ps-financial-services
mrdpaula,ps-financial-services
pdslsilva,ps-financial-services
pverdi-dev,ps-financial-services;ps-customer
rafaeltorress,ps-financial-services;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;pagseguro-core
renatofmsoares,ps-financial-services;ps-corp-platform;developer-productivity;pagseguro-core
rpmiranda-ps,ps-financial-services
s2ithearaujo,ps-financial-services
SamuelHFerreiraUol,ps-financial-services
SandroGomesDantas,ps-financial-services
sj-silva,ps-financial-services
srburton,ps-financial-services;ps-store
svcacc-github-biva,ps-financial-services
tcidrepag,ps-financial-services;ps-acquirer;ps-customer;ps-psp;developer-productivity
thhilario,ps-financial-services;ps-apichannel;ps-corp-platform;developer-productivity;pagseguro-core
til-odiniz,ps-financial-services;ps-acquirer;ps-psp
tilaaleixo,ps-financial-services;pagseguro-core
tqimagoncalves,ps-financial-services
tqisluiz,ps-financial-services
v-moraes,ps-financial-services;ps-store;ps-corp-platform;ps-acquirer;ps-customer;pagseguro-core
aquelepaulo,pagtrail;ps-infra;ps-corp-platform;ps-customer
bruninhamax,pagtrail
gabydias,pagtrail
gibastos,pagtrail;ps-corp-platform
hleca,pagtrail;ps-corp-platform
jcarneirosre,pagtrail;ps-corp-platform
Joao-Pinheiro07,pagtrail;ps-corp-platform
juliofdourado,pagtrail;ps-acquirer;ps-customer;ps-psp;pagseguro-core
MirianSeffrin,pagtrail
salsilva-init,pagtrail
thaleslimao,pagtrail;ps-apichannel;ps-corp-platform;ps-customer
aeugenio-ps,ps-store;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-acquirer;ps-psp;developer-productivity
cmmoura,ps-store;ps-web-channel;ps-customer
felippelongo,ps-store;ps-customer;ps-psp
humbertocallefi,ps-store;ps-web-channel
idd-tsantos,ps-store;ps-web-channel;ps-corp-platform;ps-customer;developer-productivity
iddleandro,ps-store;ps-web-channel;ps-corp-platform;ps-customer;developer-productivity
